# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  139       5.397605821173e-10       1.504957351686e-13      -5.965494704190e-12       0.000000000000e+00       4.117712399642e-12       7.263194239227e-13      -4.344584515401e-15 
  140       5.443822558733e-10       1.505214085832e-13      -6.002854964861e-12       0.000000000000e+00       4.035472515671e-12       7.154274013499e-13      -4.279691392755e-15 
  141       5.489924690529e-10       1.504806093392e-13      -6.037517284501e-12       0.000000000000e+00       3.955329541186e-12       7.047575496855e-13      -4.213995782033e-15 
  142       5.535899030297e-10       1.503735715457e-13      -6.069424139795e-12       0.000000000000e+00       3.877211777525e-12       6.943098509878e-13      -4.147604915991e-15 
  143       5.581732814409e-10       1.502006279879e-13      -6.098519449484e-12       0.000000000000e+00       3.801063918623e-12       6.840640524589e-13      -4.080415933348e-15 
  144       5.627412971200e-10       1.499622039710e-13      -6.124748343889e-12       0.000000000000e+00       3.726827249319e-12       6.739929258169e-13      -4.012263714249e-15 
  145       5.672926106846e-10       1.496588188396e-13      -6.148057343024e-12       0.000000000000e+00       3.654438360907e-12       6.640805560758e-13      -3.943307623941e-15 
  146       5.718259261120e-10       1.492910955234e-13      -6.168395118606e-12       0.000000000000e+00       3.583846734336e-12       6.543649887802e-13      -3.875075343756e-15 
  147       5.763399203331e-10       1.488597552719e-13      -6.185711881279e-12       0.000000000000e+00       3.514998442842e-12       6.448996857960e-13      -3.809521322036e-15 
  148       5.808332416663e-10       1.483656159952e-13      -6.199959241573e-12       0.000000000000e+00       3.447835543036e-12       6.357131095046e-13      -3.747809054850e-15 
  149       5.853045817826e-10       1.478095909438e-13      -6.211090395373e-12       0.000000000000e+00       3.382311923891e-12       6.267245451713e-13      -3.687537539258e-15 
  150       5.897526086791e-10       1.471926932734e-13      -6.219060033187e-12       0.000000000000e+00       3.318378603562e-12       6.178202158503e-13      -3.625250549301e-15 
  151       5.941759654046e-10       1.465160386067e-13      -6.223824348888e-12       0.000000000000e+00       3.255983579127e-12       6.089214040631e-13      -3.558532620439e-15 
  152       5.985733390614e-10       1.457808462665e-13      -6.225341122416e-12       0.000000000000e+00       3.195087333847e-12       6.001143871114e-13      -3.489826659593e-15 
  153       6.029433965692e-10       1.449884415240e-13      -6.223569722305e-12       0.000000000000e+00       3.135648466992e-12       5.915325647875e-13      -3.422971337317e-15 
  154       6.072847823649e-10       1.441402528458e-13      -6.218471071429e-12       0.000000000000e+00       3.077622017754e-12       5.832763815521e-13      -3.360862823770e-15 
  155       6.115961810042e-10       1.432377991174e-13      -6.210007496007e-12       0.000000000000e+00       3.020969829918e-12       5.752911200459e-13      -3.301908299190e-15 
  156       6.158762588308e-10       1.422827046006e-13      -6.198142940205e-12       0.000000000000e+00       2.965650869346e-12       5.674779611996e-13      -3.243249619314e-15 
  157       6.201236672905e-10       1.412766995206e-13      -6.182843107058e-12       0.000000000000e+00       2.911622198425e-12       5.597531286448e-13      -3.182544757542e-15 
  158       6.243371164278e-10       1.402216040709e-13      -6.164075624073e-12       0.000000000000e+00       2.858852505183e-12       5.521124695901e-13      -3.120042686391e-15 
